C1, 56.39, 37.85, 0.00, .1uF, 0603-CAP
C2, 26.29, -2.03, 0.00, 1uF, 0603-CAP
C3, 26.04, 2.03, 0.00, 1uF, 0603-CAP
C4, 29.85, 39.88, 0.00, .1uF, 0603-CAP
C5, 65.02, 30.48, 0.00, 10uF, 0603
C6, 74.42, 36.32, 0.00, 10uF, 0603
D1, 38.10, 1.78, 0.00, RED, LED-0603
D3, 72.90, 30.73, 0.00, RED, LED-0603
D4, 72.90, 28.96, 0.00, GREEN, LED-0603
D5, 72.90, 27.18, 0.00, Yellow, LED-0603
D6, 27.69, 30.99, 0.00, SS14-LTP_SCHOTTKY_DIODE_SMT_DO-214AC, DO-214AC
D7, 27.69, 28.45, 0.00, SS14-LTP_SCHOTTKY_DIODE_SMT_DO-214AC, DO-214AC
J2, 13.46, -0.78, 180.00, , JST-2-SMD
J3, 96.53, 18.80, 90.00, , USB-C-16P
Q1, 61.98, 1.78, 270.00, , MSOP8
R1, 55.12, 0.51, 180.00, 1M, 0603-RES
R10, 59.18, 31.50, 0.00, 10k, 0603
R11, 63.25, 36.58, 0.00, 5.1k, 0603
R12, 63.50, 34.54, 0.00, 5.1k, 0603
R13, 55.88, 20.32, 0.00, 10k, 0603-RES
R14, 55.88, 18.03, 0.00, 10k, 0603-RES
R15, 55.88, 15.75, 0.00, 10k, 0603-RES
R16, 55.88, 13.46, 0.00, 10k, 0603-RES
R17, 34.29, 1.78, 0.00, 1.5k, 0603
R2, 29.85, 33.78, 180.00, 1M, 0603-RES
R3, 29.85, 37.85, 0.00, 10k, 0603-RES
R4, 29.85, 35.81, 0.00, 10k, 0603-RES
R5, 76.96, 27.18, 0.00, 1.5k, 0603
R6, 76.96, 28.96, 0.00, 1.5k, 0603
R7, 76.96, 30.61, 0.00, 1.5k, 0603
R8, 74.42, 34.54, 0.00, 1k, 0603
R9, 55.88, 22.61, 0.00, 10k, 0603-RES
RTHERM, 59.18, 34.04, 0.00, THERM, R0805
S1, 66.29, 18.54, 90.00, SPST-12MM, TACTILE_SWITCH_SMD_12MM
S2, 11.43, 18.54, 90.00, SPST-12MM, TACTILE_SWITCH_SMD_12MM
S3, 86.87, 18.54, 90.00, SPST-12MM, TACTILE_SWITCH_SMD_12MM
S4, 45.97, 18.54, 90.00, SPST-12MM, TACTILE_SWITCH_SMD_12MM
S5, 27.43, 18.54, 90.00, SPST-12MM, TACTILE_SWITCH_SMD_12MM
U1, 51.82, 36.32, 270.00, ADXL362, ADXL362-1:1
U2, 40.89, 33.53, 270.00, , SOP20W
U3, 21.08, 0.38, 0.00, ADP160-3.3, SOT23-5
U4, 69.60, 35.05, 0.00, MCP73833, DFN-10
