"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY";"DIST";"DIST_ID";"MF";"MPN";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";
"1";"";"ATTINY2313A";"SOP20W";"U2";"ATTINY2313A";"";"DIGIKEY";"ATTINY2313A-SU-ND";"";"";"IC-11305";"";"";"ATTINY2313A";
"1";"";"CONN_021X02_NO_SILK";"1X02_NO_SILK";"J4";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"";"";"";"";
"1";"";"IRF7509";"MSOP8";"Q1";"30V Dual PMOS/NMOS MSOP-8";"";"";"";"";"";"TRANS-07913";"";"";"";
"1";"";"JST_2MM_MALE";"JST-2-SMD";"J2";"JST 2MM MALE RA CONNECTOR";"";"";"";"";"";"CONN-11443";"PRT-08612";"";"";
"1";"";"M03PTH";"1X03";"JP3";"Header 3";"";"";"";"";"";"";"";"";"";
"1";"";"SWITCH-SPDT-SMD-RIGHT-ANGLE";"SWITCH_SPST_SMD_A";"S6";"Single Pole, Double Throw (SPDT) Switch";"";"";"";"";"";"SWCH-10651";"";"COM-10860";"";
"1";"";"USB_C";"USB_C_CUSB31-CFM2AX-01-X";"X2";"USB Type-C USB 2.0 Connector";"";"";"";"";"";"";"";"";"";
"2";".1uF";"0.1UF-25V(+80/-20%)(0603)";"0603-CAP";"C1, C4";"CAP-00810";"";"";"";"";"";"CAP-00810";"";"";"0.1uF";
"2";"1.5k";"1.5KOHM-0603-1/10W-1%";"0603";"R17, R19";"1.5kΩ resistor";"";"";"";"";"";"RES-08306";"";"";"1.5k";
"8";"10k";"10K-1%RES-00824";"0603-RES";"R3, R4, R9, R13, R14, R15, R16, R18";"10k-ohm SMT";"";"";"";"";"";"RES-00824";"";"";"10k";
"2";"10µF";"CAP_CERAMIC0805-NOOUTLINE";"0805-NO@1";"C7, C8";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"2";"1M";"1MOHM1/10W1%(0603)";"0603-RES";"R1, R2";"RES-07868";"";"";"";"";"";"RES-07868";"";"";"";
"2";"1uF";"1.0UF-16V-10%(0603)";"0603-CAP";"C2, C3";"CAP-00868";"";"";"";"";"";"CAP-00868";"";"";"1.0uF";
"1";"2.2K";"RESISTOR_0603_NOOUT";"0603-NO";"R22";"Resistors";"";"";"";"";"";"";"";"";"";
"2";"470";"RESISTOR_0603_NOOUT";"0603-NO";"R20, R21";"Resistors";"";"";"";"";"";"";"";"";"";
"1";"ADP160-3.3";"ADP160";"SOT23-5";"U3";"Nanopower LDO";"";"Digikey";"ADP160AUJZ-3.3-R7TR-ND";"";"";"VREG-11306";"";"";"ADP160";
"1";"ADXL362";"ADXL362ADXL362-1:1";"ADXL362-1:1";"U1";"Micropower 3-axis accelerometer";"";"";"";"";"";"";"";"";"";
"1";"GREEN";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED2";"LED";"";"";"";"";"";"";"";"";"";
"1";"MCP73831T-2ACI/OT";"MCP73831/2";"SOT23-5";"U5";"MCP73831/2 LIPO Charger";"";"";"";"";"";"";"";"";"";
"1";"PROG_HDR";"AVR_SPI_PRG_6PTH";"2X3";"J1";"AVR ISP 6 Pin";"";"";"";"";"";"";"";"";"";
"1";"RASPI_GPIO_B+#_PIN";"RASPI_GPIO_B+#_PIN";"RASPI_GPIO_B+_PIN";"X1";"2x20 header connector, all pins connected";"";"";"";"";"";"";"";"";"";
"2";"RED";"LED-RED0603";"LED-0603";"D1, D2";"Red SMD LED";"";"";"";"";"";"DIO-00819";"";"";"RED";
"1";"RED";"LED0805_NOOUTLINE";"CHIPLED_0805_NOOUTLINE";"LED1";"LED";"";"";"";"";"";"";"";"";"";
"5";"SPST-12MM";"MOMENTARY-SWITCH-SPST-SMD-12MM";"TACTILE_SWITCH_SMD_12MM";"S1, S2, S3, S4, S5";"Momentary Switch (Pushbutton) - SPST";"";"";"";"";"";"SWCH-11967";"";"COM-12993";"";
"2";"SS14-LTP_SCHOTTKY_DIODE_SMT_DO-214AC";"SS14-LTP_SCHOTTKY_DIODE_SMT_DO-214AC";"DO-214AC";"D6, D7";"DIODE SCHOTTKY 1A 40V SMA";"SS14-LTPMSCT-ND";"";"";"Micro Commercial Co";"SS14-LTP";"";"";"";"";
